ID,Page,Visible Label,Component,Handler,State,API Call,Expected Behavior,Actual Behavior,Status
UI-0056,Go-To Modal,Longitude Input (Number),GoToLocationModal.jsx,onChange={(e) => setLon(e.target.value)},targetLon,None,Accepts destination longitude (-180 to +180),Accepts numeric longitude value,OPERATIONAL
UI-0057,Go-To Modal,Fly To Coordinates (Button),GoToLocationModal.jsx,onClick={handleFlyTo},viewer.camera.flyTo,None,Initiates animated camera fly-to target coordinates,Flies Cesium camera to specified coordinates,OPERATIONAL
UI-0058,Go-To Modal,Cancel / Close (Button),GoToLocationModal.jsx,onClick={() => setIsGoToLocationOpen(false)},isGoToLocationOpen=false,None,Dismisses Go-To location dialog,Dismisses dialog,OPERATIONAL
UI-0059,Missions Panel,Select Oceansat-3 (EOS-06),MissionsPanel.jsx,onClick={() => selectMission('oceansat3')},activeMissionId='oceansat3',None,Highlights Oceansat-3 track and updates inspector,Selects mission; flies camera to orbit track,OPERATIONAL
UI-0060,Missions Panel,Select SARAL / AltiKa,MissionsPanel.jsx,onClick={() => selectMission('saral')},activeMissionId='saral',None,Highlights SARAL altimeter track,Selects SARAL mission; updates inspector,OPERATIONAL
UI-0061,Missions Panel,Select SCATSAT-1,MissionsPanel.jsx,onClick={() => selectMission('scatsat1')},activeMissionId='scatsat1',None,Highlights SCATSAT-1 scatterometer track,Selects SCATSAT-1; updates inspector,OPERATIONAL
UI-0062,Events Panel,Select Cyclone Mocha,EventsPanel.jsx,onClick={() => selectOceanEvent('cyclone_mocha')},activeEventId='cyclone_mocha',None,Zooms camera to Bay of Bengal; shows storm wake,Zooms camera to Mocha track; updates inspector,OPERATIONAL
UI-0063,Events Panel,Select Cyclone Biparjoy,EventsPanel.jsx,onClick={() => selectOceanEvent('cyclone_biparjoy')},activeEventId='cyclone_biparjoy',None,Zooms camera to Arabian Sea; shows surge impact,Zooms camera to Biparjoy track; updates inspector,OPERATIONAL
UI-0064,Events Panel,Select Arabian Sea Marine Heatwave,EventsPanel.jsx,onClick={() => selectOceanEvent('mhw_arabian')},activeEventId='mhw_arabian',None,Highlights Lakshadweep thermal anomaly region,Zooms camera to Lakshadweep Sea; updates inspector,OPERATIONAL
UI-0065,Events Panel,Select Somali Upwelling System,EventsPanel.jsx,onClick={() => selectOceanEvent('somali_upwelling')},activeEventId='somali_upwelling',None,Highlights cold-water upwelling off Horn of Africa,Zooms camera to Somali coast; updates inspector,OPERATIONAL
UI-0066,Workspaces Panel,Surface Thermodynamics Preset,WorkspacesPanel.jsx,onClick={() => applyWorkspace('sst')},activeVitalSign='temp',GET /api/v1/model/volume,"Applies SST scalar field, turbo colormap, surface view",Sets SST variable and updates 3D view,OPERATIONAL
UI-0067,Workspaces Panel,Deep Circulation & Haline Stratification,WorkspacesPanel.jsx,onClick={() => applyWorkspace('haline')},activeVitalSign='salt',GET /api/v1/model/volume,"Applies salinity scalar field, thermal colormap, 500m slice",Sets salinity variable and enables depth slice,OPERATIONAL
UI-0068,Workspaces Panel,Biogeochemical Productivity & Blooms,WorkspacesPanel.jsx,onClick={() => applyWorkspace('bgc')},activeVitalSign='chl',GET /api/v1/model/volume,"Applies chlorophyll-a field, viridis colormap",Sets chlorophyll variable and viridis colormap,OPERATIONAL
UI-0069,Argo Network,Search Floats (Input Text),ArgoPage.jsx,onChange={(e) => setSearchQuery(e.target.value)},searchQuery,None,Filters float table and canvas points by WMO/platform ID,"Filters list of 1,317 floats instantaneously",OPERATIONAL
UI-0070,Argo Network,Filter Active Only (Checkbox),ArgoPage.jsx,onChange={(e) => setShowActiveOnly(e.target.checked)},showActiveOnly,None,Hides floats with last transmission > 30 days ago,Filters floats by active status,OPERATIONAL
UI-0071,Argo Network,Basin Filter (Select: Arabian/BoB/All),ArgoPage.jsx,onChange={(e) => setSelectedBasin(e.target.value)},selectedBasin,None,Filters floats to Arabian Sea or Bay of Bengal,Filters floats to selected ocean basin,OPERATIONAL
UI-0072,Argo Network,Float Row Click (Table),ArgoPage.jsx,onClick={() => selectFloat(f)},selectedFloat,GET /api/v1/observations/argo/{wmo}/profile,Selects float and loads vertical CTD depth profile,Fetches authentic CTD profile from Coriolis store,OPERATIONAL
UI-0073,Argo Network,2D Canvas Float Marker Click,ArgoPage.jsx,onCanvasClick(e),selectedFloat,GET /api/v1/observations/argo/{wmo}/profile,Selects nearest float on 2D geographic basin canvas,Selects float based on mouse coordinates,OPERATIONAL
UI-0074,Argo Network,Cycle Profile Switcher (Tabs),ArgoPage.jsx,onClick={() => setCycle(c)},selectedCycle,GET /api/v1/observations/argo/{wmo}/profile?cycle_number=N,Renders depth-vs-temp/sal curve for specific cycle,Renders authentic 0-1500m CTD profile curve,OPERATIONAL
UI-0075,Argo Network,Compare Against ROMS (Button),ArgoPage.jsx,onClick={() => setActivePage('comparison')},activePage='comparison',None,Transfers selected float to 4D colocation comparison,Switches to Comparison page with float loaded,OPERATIONAL
UI-0076,Model vs Obs,Platform Number Input,ComparisonPage.jsx,onChange={(e) => setPlatformInput(e.target.value)},platformInput,None,Accepts WMO platform ID to compare against ROMS,Updates platform input state,OPERATIONAL
UI-0077,Model vs Obs,Compute 4D Colocation (Button),ComparisonPage.jsx,onClick={handleColocate},comparisonData,GET /api/v1/comparison/profile?platform_number=N,Triggers 4D spatial/temporal trilinear interpolation,Fetches colocated model and Argo CTD profiles,OPERATIONAL
UI-0078,Model vs Obs,Variable Selector (Temp / Salinity),ComparisonPage.jsx,onClick={() => setVar(v)},activeVar,GET /api/v1/comparison/profile,Toggles physical variable for residual calculation,"Recalculates RMSE, bias, and correlation for variable",OPERATIONAL
UI-0079,Model vs Obs,Interactive Profile Hover,ComparisonPage.jsx,onMouseMove(e),hoverDepth,None,Displays synchronized depth/value crosshair on profiles,Highlights depth level across model and observation,OPERATIONAL
UI-0080,Model vs Obs,Residual Threshold Filter,ComparisonPage.jsx,onChange={(e) => setTolerance(e.target.value)},tolerance,None,Filters scatter points by residual error tolerance,Updates scatter plot highlights,OPERATIONAL
UI-0081,Analytics Studio,Preset Basin Selector (Dropdown),AnalyticsPage.jsx,onChange={(e) => handlePreset(e.target.value)},selectedPreset,GET /api/v1/model/timeseries,Loads predefined oceanographic basin coordinates,Updates coordinates and fetches NetCDF timeseries,OPERATIONAL
UI-0082,Analytics Studio,Physical Variable Selector (Select),AnalyticsPage.jsx,onChange={(e) => setSelectedVar(e.target.value)},selectedVar,GET /api/v1/model/timeseries,"Switches timeseries variable (SST, SSS, Chl, MLD)",Queries authentic 480-point timeseries for variable,OPERATIONAL
UI-0083,Analytics Studio,Timeseries Range (1Y / 5Y / 10Y / ALL),AnalyticsPage.jsx,onClick={() => setSelectedRange(r)},selectedRange,None,Zooms temporal window across 40-year reanalysis,Filters x-axis domain on timeseries plot,OPERATIONAL
UI-0084,Analytics Studio,Time Series Tab (Button),AnalyticsPage.jsx,onClick={() => setActiveTab('timeseries')},activeTab='timeseries',None,Displays 40-year trajectory with linear decadal trend,Renders 480-point NetCDF timeseries plot,OPERATIONAL
UI-0085,Analytics Studio,Vertical Stratification Tab (Button),AnalyticsPage.jsx,onClick={() => setActiveTab('vertical')},activeTab='vertical',GET /api/v1/model/volume,Displays model vertical depth stratification curve,Renders vertical depth-vs-temperature profile,OPERATIONAL
UI-0086,Analytics Studio,Hovmoller Diagram Tab (Button),AnalyticsPage.jsx,onClick={() => setActiveTab('hovmoller')},activeTab='hovmoller',None,Displays 40-year monthly climatology heat matrix,Renders 12x40 monthly Hovmoller climatology,OPERATIONAL
UI-0087,Analytics Studio,Spectral Analysis Tab (Button),AnalyticsPage.jsx,onClick={() => setActiveTab('spectral')},activeTab='spectral',None,Displays Discrete Fourier Transform periodogram,Renders FFT power spectrum showing 12m & 6m peaks,OPERATIONAL
UI-0088,Analytics Studio,Latitude Custom Input,AnalyticsPage.jsx,onChange={(e) => setLatVal(e.target.value)},latVal,GET /api/v1/model/timeseries,Accepts custom latitude for timeseries extraction,Queries backend timeseries at specified latitude,OPERATIONAL
UI-0089,Analytics Studio,Longitude Custom Input,AnalyticsPage.jsx,onChange={(e) => setLonVal(e.target.value)},lonVal,GET /api/v1/model/timeseries,Accepts custom longitude for timeseries extraction,Queries backend timeseries at specified longitude,OPERATIONAL
UI-0090,Data Catalog,Category Filter (Models / In-Situ / Remote),DataCatalogPage.jsx,onClick={() => setActiveCategory(c)},activeCategory,None,Filters dataset cards by collection category,Filters dataset list; lacks WAI-ARIA tab semantics,DEFECTIVE
UI-0091,Data Catalog,Search Datasets (Input),DataCatalogPage.jsx,onChange={(e) => setSearch(e.target.value)},search,None,"Searches datasets by title, format, or provider",Filters catalog cards by keyword,OPERATIONAL
UI-0092,Data Catalog,Download NetCDF Links,DataCatalogPage.jsx,href='https://erddap.incois.gov.in/',None,None,Directly downloads NetCDF dataset from ERDDAP,Opens generic ERDDAP homepage instead of direct file,DEFECTIVE
UI-0093,Data Catalog,Inspect Metadata Modal (Button),DataCatalogPage.jsx,onClick={() => openMeta(d)},selectedMeta,GET /api/v1/model/metadata,Displays CF-1.6 dimension and attribute specifications,Renders dataset dimensions and coordinate metadata,OPERATIONAL
UI-0094,Methodology,Section Anchor Navigation (Links),MethodologyPage.jsx,onClick={() => scrollToSection(s)},None,None,Smoothly scrolls to TEOS-10 or ROMS equation sections,Smoothly scrolls to corresponding documentation section,OPERATIONAL
UI-0095,Methodology,Copy Equation Latex (Button),MethodologyPage.jsx,onClick={copyLatex},copiedState,None,Copies raw LaTeX formulation to clipboard,Copies equation formula to clipboard,OPERATIONAL
UI-0096,Settings,High DPI Rendering (Toggle),SettingsPage.jsx,onChange={(e) => setHighDpi(e.target.checked)},highDpi,None,Toggles devicePixelRatio supersampling in 3D canvas,Toggles high DPI setting; saves to localStorage,OPERATIONAL
UI-0097,Settings,Antialiasing FXAA/MSAA (Toggle),SettingsPage.jsx,onChange={(e) => setAntialiasing(e.target.checked)},antialiasing,None,Toggles multisample anti-aliasing in Cesium context,Toggles antialiasing state; saves to localStorage,OPERATIONAL
UI-0098,Settings,Bathymetric Shading (Toggle),SettingsPage.jsx,onChange={(e) => setBathymetricContours(e.target.checked)},bathymetricContours,None,Toggles seabed relief illumination contours,Updates bathymetric contours; saves to localStorage,OPERATIONAL
UI-0099,Settings,Raymarching Step Count (Select),SettingsPage.jsx,onChange={(e) => setRaymarchingSteps(e.target.value)},raymarchingSteps,None,"Sets volumetric sampling rate (128, 256, 512 steps)",Updates raymarching steps; saves to localStorage,OPERATIONAL
UI-0100,Settings,Target FPS Cap (Select),SettingsPage.jsx,onChange={(e) => setFpsCap(e.target.value)},fpsCap,None,"Caps render loop rate (30, 60, 120 FPS)",Updates FPS cap; saves to localStorage,OPERATIONAL
UI-0101,Settings,Volumetric Self-Shadowing (Toggle),SettingsPage.jsx,onChange={(e) => setVolumetricShadows(e.target.checked)},volumetricShadows,None,Toggles secondary light march through scalar volume,Updates shadow setting; saves to localStorage,OPERATIONAL
UI-0102,Settings,QC Validation Policy (Select),SettingsPage.jsx,onChange={(e) => setQcPolicy(e.target.value)},qcPolicy,None,"Selects Argo QC filter strictness (strict, lenient, raw)",Updates QC policy in store; saves to localStorage,OPERATIONAL
UI-0103,Settings,Temperature Scale (Select: C/K),SettingsPage.jsx,onChange={(e) => setTempScale(e.target.value)},tempScale,None,Switches displayed thermal units (Celsius vs Kelvin),Updates temperature scale; saves to localStorage,OPERATIONAL
UI-0104,Settings,Volume Interpolation Mode (Select),SettingsPage.jsx,onChange={(e) => setInterpMode(e.target.value)},interpMode,None,Selects trilinear vs nearest-neighbor volume filtering,Updates interpolation mode; saves to localStorage,OPERATIONAL
UI-0105,Settings,Apply Settings (Button),SettingsPage.jsx,onClick={handleSave},settings (store + localStorage),None,Persists all preferences to Zustand store & localStorage,Dispatches updateSettings(); saves to localStorage,OPERATIONAL
UI-0106,Settings,Reset to Defaults (Button),SettingsPage.jsx,onClick={handleReset},settings (DEFAULT_SETTINGS),None,Reverts all configuration to default production baseline,Resets settings; purges localStorage entry,OPERATIONAL
UI-0107,Coordinates,Decimal Degrees Latitude Input,CoordinatesPage.jsx,onChange={(e) => setDdLat(e.target.value)},ddLat,None,Accepts signed decimal latitude (-90 to +90),Accepts numeric input; converts to DMS,OPERATIONAL
UI-0108,Coordinates,Decimal Degrees Longitude Input,CoordinatesPage.jsx,onChange={(e) => setDdLon(e.target.value)},ddLon,None,Accepts signed decimal longitude (-180 to +180),Accepts numeric input; converts to DMS,OPERATIONAL
UI-0109,Coordinates,DMS Degree / Minute / Second Inputs,CoordinatesPage.jsx,onChange={(e) => handleDms(e)},dmsCoords,None,Accepts DMS strings (e.g. 10 30 00 N); converts to DD,Converts DMS to DD; fails on trailing spaces / lowercase,DEFECTIVE
UI-0110,Coordinates,Copy Converted Coordinates (Button),CoordinatesPage.jsx,onClick={handleCopy},copiedState,None,Copies formatted coordinates to clipboard,Copies coordinate string to clipboard,OPERATIONAL
UI-0111,Coordinates,View on 3D Globe (Button),CoordinatesPage.jsx,onClick={handleViewOnGlobe},targetCoordinate,None,Navigates to 3D Cesium globe focused on coordinates,Sets targetCoordinate and opens Home view,OPERATIONAL
